Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
302,10,0.02724522638320923,0.528,0.56,0.08059486010902216
303,10,0.02724522638320923,0.528,0.56,0.10993773611721464
304,10,0.02724522638320923,0.528,0.56,0.1379401459292872
305,10,0.02724522638320923,0.528,0.56,0.18166477955587051
306,10,0.02724522638320923,0.528,0.56,0.061193901754745414
307,10,0.02724522638320923,0.528,0.56,0.10694109738072038
308,10,0.02724522638320923,0.528,0.56,0.077069809143301
309,10,0.02724522638320923,0.528,0.56,0.03588670882574297
310,10,0.02724522638320923,0.528,0.56,0.08282458521109423
311,10,0.02724522638320923,0.528,0.56,0.10334477584334842
312,10,0.02724522638320923,0.528,0.56,0.08755851415418148
313,10,0.02724522638320923,0.528,0.56,0.09554954884647757
314,10,0.02724522638320923,0.528,0.56,0.09170748514154098
315,10,0.02724522638320923,0.528,0.56,0.20234525323697844
316,10,0.02724522638320923,0.528,0.56,0.08648436820246473
317,10,0.02724522638320923,0.528,0.56,0.06929014130061102
318,10,0.02724522638320923,0.528,0.56,0.16721684285987443
319,10,0.02724522638320923,0.528,0.56,0.15371150717215654
320,11,0.022595566868782044,0.515,0.545,0.07839604190358727
321,11,0.022595566868782044,0.515,0.545,0.11653495404393209
322,11,0.022595566868782044,0.515,0.545,0.10603373762783018
323,11,0.022595566868782044,0.515,0.545,0.08593205951103346
324,11,0.022595566868782044,0.515,0.545,0.1897464418888995
325,11,0.022595566868782044,0.515,0.545,0.09129560745762741
326,11,0.022595566868782044,0.515,0.545,0.05598842158089652
327,11,0.022595566868782044,0.515,0.545,0.061704096944072674
328,11,0.022595566868782044,0.515,0.545,0.04757363282246276
329,11,0.022595566868782044,0.515,0.545,0.08220386064593202
330,11,0.022595566868782044,0.515,0.545,0.08448142925366514
331,11,0.022595566868782044,0.515,0.545,0.2294984264549959
332,11,0.022595566868782044,0.515,0.545,0.02086415408146079
333,11,0.022595566868782044,0.515,0.545,0.049108814683587035
334,11,0.022595566868782044,0.515,0.545,0.05942878180668777
335,11,0.022595566868782044,0.515,0.545,0.044975735819545844
336,11,0.022595566868782044,0.515,0.545,0.09288514650558628
337,11,0.022595566868782044,0.515,0.545,0.1956882188645032
338,11,0.022595566868782044,0.515,0.545,0.1210304867506442
339,11,0.022595566868782044,0.515,0.545,0.029354602913419924
340,11,0.022595566868782044,0.515,0.545,0.12598531996021559
341,11,0.022595566868782044,0.515,0.545,0.03662202869905228
342,11,0.022595566868782044,0.515,0.545,0.06674578405119447
343,11,0.022595566868782044,0.515,0.545,0.0222507900384449
344,11,0.022595566868782044,0.515,0.545,0.09652669177926808
345,11,0.022595566868782044,0.515,0.545,0.12792845781077095
346,11,0.022595566868782044,0.515,0.545,0.08129607278035829
347,11,0.022595566868782044,0.515,0.545,0.04614902878029352
348,11,0.022595566868782044,0.515,0.545,0.13654053672323857
349,11,0.022595566868782044,0.515,0.545,0.08320825428907931
350,11,0.022595566868782044,0.515,0.545,0.06907471609590202
351,11,0.022595566868782044,0.515,0.545,0.20975543321091475
352,12,0.018787025034427644,0.539,0.565,0.10922223251808723
353,12,0.018787025034427644,0.539,0.565,0.1605779612079856
354,12,0.018787025034427644,0.539,0.565,0.1314447452569433
355,12,0.018787025034427644,0.539,0.565,0.05849789864152391
356,12,0.018787025034427644,0.539,0.565,0.3294729729415656
357,12,0.018787025034427644,0.539,0.565,0.19545911034950317
358,12,0.018787025034427644,0.539,0.565,0.05662095121559389
359,12,0.018787025034427644,0.539,0.565,0.08152175262679777
360,12,0.018787025034427644,0.539,0.565,0.1031833388292647
361,12,0.018787025034427644,0.539,0.565,0.06774619236265245
362,12,0.018787025034427644,0.539,0.565,0.07580099641117236
363,12,0.018787025034427644,0.539,0.565,0.09646883947960556
364,12,0.018787025034427644,0.539,0.565,0.22353797531897782
365,12,0.018787025034427644,0.539,0.565,0.05589229752164098
366,12,0.018787025034427644,0.539,0.565,0.030407303000158755
367,12,0.018787025034427644,0.539,0.565,0.10462383919522575
368,12,0.018787025034427644,0.539,0.565,0.042176085222970124
369,12,0.018787025034427644,0.539,0.565,0.0937091758896288
370,12,0.018787025034427644,0.539,0.565,0.08330732978329641
371,12,0.018787025034427644,0.539,0.565,0.07449218351170334
372,12,0.018787025034427644,0.539,0.565,0.20659093052963115
373,12,0.018787025034427644,0.539,0.565,0.08460593252686745
374,12,0.018787025034427644,0.539,0.565,0.11862173507442486
375,12,0.018787025034427644,0.539,0.565,0.09373357762643456
376,12,0.018787025034427644,0.539,0.565,0.15535751523159644
377,12,0.018787025034427644,0.539,0.565,0.11355134758541015
378,12,0.018787025034427644,0.539,0.565,0.09679884961124682
379,12,0.018787025034427644,0.539,0.565,0.12003974680504279
